OBJECTID,GIS_ID,Highway,FromPoint,ToPoint,MaxSpeed,Source,LastEditDate,SHAPESTLength
6250,13552,Hunt Club Dr,Manchester Rd,Radcliffe Cres,40,,2022/11/18 15:09:40+00,1145.23628459357
6251,13553,Kingspark Cres,Hunt Club Dr,Hunt Club Dr,40,,2022/11/18 15:09:40+00,1048.5167994332
6252,13554,Normandy Gate,Hunt Club Dr,Normandy Gdns,40,,2022/11/18 15:09:40+00,101.002601507585
6253,13555,Normandy Gdns,End of street,Manchester Rd,40,,2022/11/18 15:09:40+00,830.507355804017
6254,13556,Normandy Pl,Normandy Gdns,End of street,40,,2022/11/18 15:09:40+00,88.1182659990351
6255,13557,Queen Mary Cres,Manchester Rd,Royal York Rd,40,,2022/11/18 15:09:40+00,503.796755266259
6256,13558,Regency Rd,Manchester Rd,Queen Mary Cres,40,,2022/11/18 15:09:40+00,276.206399025971
6257,13559,Manchester Rd,Royal York Rd,Staffordshire Rd,40,,2022/11/18 15:09:40+00,1782.26084552284
6258,13560,Ivanhill Rd,Manchester Rd,Hyde Park Rd,40,,2022/11/18 15:09:40+00,431.450154802818
6259,13561,Driftwood Rd,Ivanhill Rd,End of street,40,,2022/11/18 15:09:40+00,63.4037393579448
6260,13562,Fitzwilliam Blvd,Hyde Park Rd,End of street,40,,2022/11/18 15:09:40+00,1368.2201085052
6261,13563,Northumberland Rd,End of street,Fitzwilliam Blvd,40,,2022/11/18 15:09:40+00,481.91790196971
6262,13564,Tynedale Ave,Manchester Rd,Manchester Rd,40,,2022/11/18 15:09:40+00,580.051138415437
6263,13565,Cheltenham Rd,Staffordshire Rd,Manchester Rd,40,,2022/11/18 15:09:40+00,618.472277612531
6264,13566,Staffordshire Rd,Cheltenham Rd,Cheltenham Rd,40,,2022/11/18 15:09:40+00,784.940025262963
6265,13567,Aintree Rd,Staffordshire Rd,Cheltenham Rd,40,,2022/11/18 15:09:40+00,220.783935872518
6266,13568,Staffordshire Pl,End of street,Staffordshire Rd,40,,2022/11/18 15:09:40+00,82.6072994567671
6267,13569,Staffordshire Crt,End of street,Staffordshire Rd,40,,2022/11/18 15:09:40+00,41.3120077295936
6269,13570,Scanlan St,End of street,River Rd,40,,2022/11/18 15:09:40+00,772.133214603018
6270,13571,Scanlan St,River Rd,McMillan St,40,,2022/11/18 15:09:40+00,237.817246318329
6271,13572,McMillan St,Scanlan St,End of street,40,,2022/11/18 15:09:40+00,326.959748905923
6272,13573,Pension Lane,Clarke Rd,McMillan St,40,,2022/11/18 15:09:40+00,631.210377822227
6273,13574,Bobolink Lane,Hamilton Rd,End of street,40,,2022/11/18 15:09:40+00,229.451482153028
6274,13575,Chickadee Trail,Bobolink Lane,End of street,40,,2022/11/18 15:09:40+00,253.600809169089
6275,13576,Oriole Dr,End of street,Chickadee Trail,40,,2022/11/18 15:09:40+00,546.35341780664
6276,13577,Frederick Cres,End of street,End of street,40,,2022/11/18 15:09:40+00,338.446076289504
6277,13578,Purcell Dr,End of street,End of street,40,,2022/11/18 15:09:40+00,381.324197789031
6278,13579,Purcell Crt,Bourdeau Rd,End of street,40,,2022/11/18 15:09:40+00,69.9790539132961
6279,13580,Bourdeau Rd,Frederick Cres,End of street,40,,2022/11/18 15:09:40+00,255.384868629962
6280,13581,Baxter St,Purcell Dr,End of street,40,,2022/11/18 15:09:40+00,240.728265457273
6281,13582,Wildgoose Rd,Ourcell Dr,Hamilton Rd,40,,2022/11/18 15:09:40+00,227.829674295292
6282,13583,Hungerford St,Purcell Dr,Hamilton Rd,40,,2022/11/18 15:09:40+00,242.895085581932
6283,13584,Crimson Cres,Hamilton Rd,Hamilton Rd,40,,2022/11/18 15:09:40+00,461.188082364468
6284,13585,Loggers Grove,River Run Terr,Crimson Cres,40,,2022/11/18 15:09:40+00,378.917979169426
6285,13586,Trapper St,Loggers Grove,Tanner Dr,40,,2022/11/18 15:09:40+00,306.615045967243
6287,13587,Pochard Lane,Woodfern Rd,Tanner Dr,40,,2022/11/18 15:09:40+00,327.151085338934
6288,13588,Tanner Dr,Pochard Lane,End of street,40,,2022/11/18 15:09:40+00,275.55100088395
6289,13589,Pochard Crt,End of street,Pochard Lane,40,,2022/11/18 15:09:40+00,57.364364253254
6290,13590,Bayview Crt,End of street,Clarke Rd,40,,2022/11/18 15:09:40+00,109.666002383419
6291,13591,River Run Terr,Hamilton Rd,Classic Dr,40,,2022/11/18 15:09:40+00,418.158464769406
6292,13592,Danielle Lane,River Run Terr,Pochard Lane,40,,2022/11/18 15:09:40+00,119.951140762286
6293,13593,Classic Crt,Classic Dr,End of street,40,,2022/11/18 15:09:40+00,56.6078755560771
6294,13594,Classic Dr,End of street,Classic Dr,40,,2022/11/18 15:09:40+00,1340.8626554607
6295,13595,Woodfern Rd,River Run Terr,Classic Dr,40,,2022/11/18 15:09:40+00,228.520938245614
6296,13596,Quail Ridge Cres,Classic Dr,Classic Dr,40,,2022/11/18 15:09:40+00,341.065551042909
6297,13597,Classic Cres,Classic Dr,Classic Dr,40,,2022/11/18 15:09:40+00,332.977323081748
6298,13598,Whitlow Crt,Classic Dr,End of street,40,,2022/11/18 15:09:40+00,34.8323481018722
6299,13599,Firestone Blvd,Gore Rd,Classic Dr,40,,2022/11/18 15:09:40+00,89.5056876140569
6300,13600,Farmbrook Rd,End of street,Classic Dr,40,,2022/11/18 15:09:40+00,74.2002430395943
6301,13601,Selkirk St,Braesyde Ave,End of street,40,,2022/11/18 15:09:40+00,158.473532797531
6302,13602,Dengate Cres,Braesyde Ave,Braesyde Ave,40,,2022/11/18 15:09:40+00,384.255737011155
6303,13603,Firestone Blvd,Gore Rd,Clarke Rd,40,,2022/11/18 15:09:40+00,703.658852207318
6304,13604,Coldstream Cres,Eldorado Ave,Eldorado Ave,40,,2022/11/18 15:09:40+00,305.130069564699
6306,13605,Eldorado Ave,Montebello Dr,Coldstream Cres,40,,2022/11/18 15:09:40+00,649.368235973115
6307,13606,Rockwyn Cres,Eldorado Ave,Montebello Dr,40,,2022/11/18 15:09:40+00,377.246261820032
6308,13607,Marbenor Cres,Rockwyn Cres,Rockwyn Cres,40,,2022/11/18 15:09:40+00,211.433420137967
6309,13608,Tweedsmuir Ave,Hale St,Montebello Dr,40,,2022/11/18 15:09:40+00,1640.91978905083
6310,13609,Short Ave,Trafalgar St,Fairhaven St,40,,2022/11/18 15:09:40+00,212.189504896189
6311,13610,Fairhaven St,Highbury Ave N,Fairhaven Cir,40,,2022/11/18 15:09:40+00,209.021616945545
6312,13611,Fairhaven Cir,End of street,Fairhaven Cir,40,,2022/11/18 15:09:40+00,986.125575801905
6313,13612,Fairhaven Gate,Fairhaven Cir,Magee St,40,,2022/11/18 15:09:40+00,93.3864527938073
6314,13613,Magee St,Highbury Ave N,Hale St,40,,2022/11/18 15:09:40+00,419.106388858802
6315,13614,Magee Pl,Magee St,End of street,40,,2022/11/18 15:09:40+00,91.0960448928599
6316,13615,Coventry Ave,Magee St,Hamilton Rd,40,,2022/11/18 15:09:40+00,331.607751727022
6317,13616,Hale St,Trafalgar St,Hamilton Rd,40,,2022/11/18 15:09:40+00,976.182452546015
6318,13617,Jasper Cres,Jasper Cres,Tweedsmuir Ave,40,,2022/11/18 15:09:40+00,726.934145713924
6319,13618,Queenston Cres,Court Lane,Court Lane,40,,2022/11/18 15:09:40+00,761.270920892739
6320,13619,Court Lane,Tweedsmuir Ave,Tweedsmuir Ave,40,,2022/11/18 15:09:40+00,345.829767598338
6321,13620,Ottawa Crt,Tweedsmuir Ave,Tweedsmuir Ave,40,,2022/11/18 15:09:40+00,104.258732510636
6322,13621,Laurentian Dr N,Tweedsmuir Ave,Cornerbrook Ave,40,,2022/11/18 15:09:40+00,373.319698173623
6323,13622,Laurentian Dr S,Tweedsmuir Ave,Tweedsmuir Ave,40,,2022/11/18 15:09:40+00,285.347223718615
6324,13623,Cornerbrook Ave,Tweedsmuir Ave,End of street,40,,2022/11/18 15:09:40+00,138.722635138939
6325,13624,Arcadia Cres,Tweedsmuir Ave,Tweedsmuir Ave,40,,2022/11/18 15:09:40+00,370.445908196847
6326,13625,Manitoulin Dr,Tweedsmuir Ave,Tweedsmuir Ave,40,,2022/11/18 15:09:40+00,1153.44634000965
6327,13626,Breton Park Cres,Manitoulin Dr,Manitoulin Dr,40,,2022/11/18 15:09:40+00,398.30168905335
6328,13627,Algonquin Cres,Manitoulin Dr,Manitoulin Dr,40,,2022/11/18 15:09:40+00,402.863871117395
6329,13628,Strathcona Dr,Manitoulin Dr,Montebello Dr,40,,2022/11/18 15:09:40+00,448.092770716526
6330,13629,Niagara St,Strathcona Dr,Fundy Ave,40,,2022/11/18 15:09:40+00,190.698647879396
6331,13630,Fundy Ave,End of street,Montebello Dr,40,,2022/11/18 15:09:40+00,166.699592329668
6332,13631,Hamber Crt,Strathcona Dr,End of street,40,,2022/11/18 15:09:40+00,199.908136428248
6333,13632,Watmar Ave,End of street,Hamilton Rd,40,,2022/11/18 15:09:40+00,212.678138221116
6334,13633,Fairmont Ave,Hamilton Rd,Manitoulin Dr,40,,2022/11/18 15:09:40+00,423.156688189667
6335,13634,Cousins Ave,Hale St,Fairmont Ave,40,,2022/11/18 15:09:40+00,221.027100821248
6336,13635,Fairway Ave,Tweedsmuir Ave,Ellsworth Ave,40,,2022/11/18 15:09:40+00,272.472512017374
6337,13636,Ellsworth Ave,Tweedsmuir Ave,Ellsworth Cres,40,,2022/11/18 15:09:40+00,486.869443473393
6338,13637,Ellsworth Cres,Hale St,Ellsworth Close,40,,2022/11/18 15:09:40+00,83.9737190238836
6339,13638,Ellsworth Close,End of street,Ellsworth Cres,40,,2022/11/18 15:09:40+00,67.427946611179
6340,13639,Greenside Ave,Horton St W,Greenway PCP Entry,40,,2022/11/18 15:09:40+00,301.269896246302
6341,13640,Greenway PCP Entry,End of street,Greenside Ave,40,,2022/11/18 15:09:40+00,448.712431176961
6342,13641,Greenway PCP Entry,End of street,Wildwood Ave,40,,2022/11/18 15:09:40+00,80.142805858168
6343,13642,Wildwood Ave,Forest Hill Ave,Springbank Dr,40,,2022/11/18 15:09:40+00,512.677188322046
6344,13643,Forest Hill Ave,Wildwood Ave,Springbank Dr,40,,2022/11/18 15:09:40+00,363.178449798092
6345,13644,Old Riverside Dr,Riverside Dr,End of street,40,,2022/11/18 15:09:40+00,120.168138815122
6346,13645,Braemar Cres,Riverside Dr,Riverside Dr,40,Appendix A - By-law to Amend the Traffic and Parking By-law (PS-114),2022/11/18 15:14:38+00,406.711036032115
6347,13646,Hutton Pl,End of street,Riverside Dr,40,Appendix A - By-law to Amend the Traffic and Parking By-law (PS-114),2022/11/18 15:14:38+00,89.5911885422462
6348,13647,Chelsea Ave,Seawood Ave,Springbank Dr,40,,2022/11/18 15:09:40+00,438.220979110114
6349,13648,Donna St,Seawood Ave,Chelsea Ave,40,,2022/11/18 15:09:40+00,254.191993525851
6350,13649,Seawood Ave,Darlene Cres,Springbank Dr,40,,2022/11/18 15:09:40+00,483.967037738754
6351,13650,Malcolm St,End of street,Seawood Ave,40,,2022/11/18 15:09:40+00,90.0635266833516
6352,13651,Carol St,End of street,Seawood Ave,40,,2022/11/18 15:09:40+00,128.676673635992
6353,13652,Darlene Cres,End of street,Pinewood Dr,40,,2022/11/18 15:09:40+00,112.881525393995
6354,13653,Pinewood Dr,Darlene Cres,Mary Ave,40,,2022/11/18 15:09:40+00,400.601825602304
6355,13654,Mary Ave,Springbank Dr,Randol Dr,40,,2022/11/18 15:09:40+00,355.289683036337
6356,13655,Randol Dr,Trowbridge Ave,Pinewood Dr,40,,2022/11/18 15:09:40+00,200.022555250112
6357,13656,Trowbridge Ave,End of street,Springbank Dr,40,,2022/11/18 15:09:40+00,438.578428309377
6358,13657,Evergreen Ave,End of street,Wharncliffe Rd S,40,,2022/11/18 15:09:40+00,420.900546188867
6359,13658,Riverview Ave,Evergreen Ave,Wharncliffe Rd S,40,,2022/11/18 15:09:40+00,388.521092241302
6360,13659,O'Brien St,Shirley Ave (PVT),Riverview Ave,40,,2022/11/18 15:09:40+00,81.4107061013476
6361,13660,Shirley Ave (PVT),O'Brien St,End of street,40,,2022/11/18 15:09:40+00,54.0291279341755
6362,13661,Cavendish Cres,Riverside Dr,Wyatt St,40,,2022/11/18 15:09:40+00,765.111948817115
6363,13662,Wyatt St,Cavendish Cres,Wharncliffe Rd N,40,,2022/11/18 15:09:40+00,380.69039574339
6364,13663,Walnut St,Forward Ave,Riverside Dr,40,,2022/11/18 15:09:40+00,386.965155817753
6365,13664,Forward Ave,End of street,Riverside Dr,40,,2022/11/18 15:09:40+00,868.11950241344
6366,13665,Delmage Ave,End of street,Forward Ave,40,,2022/11/18 15:09:40+00,98.7302492202364
6367,13666,Murdock St,End of street,Riverside Dr,40,,2022/11/18 15:09:40+00,169.766735622701
6368,13667,Maurice St,End of street,Murdock St,40,,2022/11/18 15:09:40+00,215.69950731993
6369,13668,Wood St,Maurice St,Forward Ave,40,,2022/11/18 15:09:40+00,131.73508329939
6370,13669,Wellington St,Huron St,Oxford St E,40,,2022/11/18 15:09:40+00,1372.90199209544
6371,13670,Hellmuth Ave,Grosvenor St,Oxford St E,40,,2022/11/18 15:09:40+00,484.577431628839
6372,13671,Waterloo St,Epworth Ave,Oxford St E,40,,2022/11/18 15:09:40+00,1811.50244177309
6373,13672,Colborne St,Huron St,Oxford St E,40,,2022/11/18 15:09:40+00,1372.76347624172
6374,13673,William St,Huron St,Oxford St E,40,,2022/11/18 15:09:40+00,1375.11384392038
6375,13674,Thornton Ave,Victoria St,Oxford St E,40,,2022/11/18 15:09:40+00,959.4383743119
6376,13675,Christie St,Regent St,Victoria St,40,,2022/11/18 15:09:40+00,243.993887933694
6377,13676,Fraser Ave,Huron St,Regent St,40,,2022/11/18 15:09:40+00,168.937044267073
6378,13677,Clenray Pl,,,40,,2022/11/18 16:16:20+00,73.1325422318956
6379,13678,Harrison Ave,Regent St,Cheapside St,40,,2022/11/18 15:09:40+00,486.037297209914
6380,13679,Logan Ave,Victoria St,Grosvenor St,40,,2022/11/18 15:09:40+00,486.775842309711
6381,13680,Willingdon Ave,Cheapside St,Grosvenor St,40,,2022/11/18 15:09:40+00,242.634842263225
6382,13681,Renwick Ave,Victoria St,Cheapside St,40,,2022/11/18 15:09:40+00,243.422334500729
6383,13682,Patricia St,Huron St,University Cres,40,,2022/11/18 15:09:40+00,248.795665605191
6384,13683,Brough St,University Cres,Huron St,40,,2022/11/18 15:09:40+00,278.074410392839
6385,13684,Meadowdown Dr,End of street,Epworth Ave,40,,2022/11/18 15:09:40+00,130.045281049413
6386,13685,Raymond Ave,Richmond St,Bernard Ave,40,,2022/11/18 15:09:40+00,334.501559190255
6387,13686,Bernard Ave,Richmond St,End of street,40,,2022/11/18 15:09:40+00,285.131454654189
6388,13687,Mayfair Dr,Richmond St,Meadowdown Dr,40,,2022/11/18 15:09:40+00,361.164774370466
6389,13688,Epworth Ave,Richmond St,Waterloo St,40,,2022/11/18 15:09:40+00,562.623976798376
6390,13689,Broughdale Ave,Richmond St,Brough St,40,,2022/11/18 15:09:40+00,136.399666718482
6391,13690,Steele St,End of street,Patricia St,40,,2022/11/18 15:09:40+00,160.709712510003
6392,13691,University Cres,End of street,Patricia St,40,,2022/11/18 15:09:40+00,353.235957452942
6393,13692,Steele St,Patricia St,Waterloo St,40,,2022/11/18 15:09:40+00,98.9674188068983
6394,13693,Huron St,Richmond St,Maitland St,40,,2022/11/18 15:09:40+00,877.60983987252
6395,13694,Maitland St,Oxford St E,Huron St,40,,2022/11/18 15:09:40+00,1368.91154207846
6396,13695,Harrison Cres,Regent St,William St,40,,2022/11/18 15:09:40+00,213.723115111177
6397,13696,Huron St,William St,Adelaide St N,40,,2022/11/18 15:09:40+00,232.050266998664
6398,13697,Harrison Cres,William St,Regent St,40,,2022/11/18 15:09:40+00,230.929376128436
6399,13698,Regent St,Richmond St,Adelaide St N,40,,2022/11/18 15:09:40+00,1420.12246419796
6400,13699,Sherwood Ave,Richmond St,End of street,40,,2022/11/18 15:09:40+00,89.2250487579021
6401,13700,Wellington Gdns,Wellington St,End of street,40,,2022/11/18 15:09:40+00,190.963790530669
6402,13701,Chalmers St,Colborne St,Maitland St,40,,2022/11/18 15:09:40+00,241.330648715243
6403,13702,Lambton St,William St,Adelaide St N,40,,2022/11/18 15:09:40+00,257.214258637833
6404,13703,Victoria St,Richmond St,Adelaide St N,40,,2022/11/18 15:09:40+00,1415.84992290089
6405,13704,Cheapside St,Richmond St,Adelaide St N,40,,2022/11/18 15:09:40+00,1413.04878569671
6406,13705,Cromwell St,End of street,Waterloo St,40,,2022/11/18 15:09:40+00,108.361506215491
6407,13706,Ross St,Logan Ave,Adelaide St N,40,,2022/11/18 15:09:40+00,132.017912990207
6408,13707,Grosvenor St,Richmond St,Adelaide St N,40,,2022/11/18 15:09:40+00,1408.25711006321
6409,13708,Partridge St,Maitland St,William St,40,,2022/11/18 15:09:40+00,242.856551507284
6410,13709,Alma St,End of street,St James St,40,,2022/11/18 15:09:40+00,184.71285488444
6411,13710,St James St,Richmond St,Adelaide St N,40,,2022/11/18 15:09:40+00,1406.86719598679
6412,13711,Sydenham St,Richmond St,Wellington St,40,,2022/11/18 15:09:40+00,191.272473723608
6413,13712,Carlton Ave,End of street,End of street,40,,2022/11/18 15:09:40+00,228.114637724407
6414,13713,Fanshawe Park Rd E,Richmond St,1200 m east of Highbury Ave N,60,,2022/11/18 15:09:40+00,6085.24390615091
6415,13715,Bradley Ave,100 m east of Willow Dr,150 m east of Jackson Rd,60,,2022/11/18 15:09:40+00,4766.88280110406
6416,13716,Bradley Ave,150 m east of Jackson Rd,East City Limits,80,,2022/11/18 15:09:40+00,4053.94723590462
6417,13717,King St,Colborne St,Adelaide St N,40,Traffic and Parking By-law Schedule 17.3,2022/11/18 15:09:40+00,694.213289998257
6418,13718,Queen St,Colborne St,Adelaide St N,40,Traffic and Parking By-law Schedule 17.3,2022/11/18 15:09:40+00,716.637384044569
6819,864,Balfour Pl,Trafalgar St,End of Street,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 13:56:24+00,148.509976982898
6820,865,Condor Crt,Trafalgar St,End of Street,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 13:56:35+00,287.160666137338
6821,876,Falcon St,Trafalgar St,End of Street,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 13:56:44+00,461.486488015955
6822,875,Charterhouse Cres,Clarke Rd,Clarke Rd,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 13:56:58+00,721.03353454729
6823,1036,Throne Ave,Trafalgar St,McLarenwood Terr,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 13:57:14+00,111.83046256137
6824,1113,McLarenwood Terr,Trafalgar St,Throne Ave,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 13:57:28+00,245.230042556581
6825,1114,McLarenwood Terr,Throne Ave,End of Street,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 13:57:53+00,208.049337402667
6826,3465,Ramsay Rd,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:09:33+00,178.271792299651
6827,3464,Ramsay Rd,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:09:41+00,160.643384986746
6828,3746,Stirrup Crt,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:10:09+00,123.313644645351
6829,3877,Whiteacres Dr,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:10:17+00,50.6633240681424
6830,3879,Whiteacres Dr,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:10:23+00,301.824930347961
6831,3926,Whiteacres Crt,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:10:30+00,46.4144956460802
6832,3876,Pitcarnie Cres,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:11:22+00,183.794549852396
6833,3925,Whiteacres Dr,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:10:42+00,88.5839166404941
6834,3931,Attawandaron Rd,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:10:49+00,159.131536718561
6835,3946,Pitcarnie Rd,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:10:59+00,78.0722875423796
6836,3947,Pitcarnie Cres,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:11:10+00,376.81104733287
6837,3948,Whiteacres Dr,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:11:34+00,176.825172521703
6838,3949,Pitcarnie Rd,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:11:39+00,78.1156942994172
6839,3957,Pitcarnie Rd,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:11:44+00,70.9963859173742
6840,3959,Pitcarnie Rd,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:11:48+00,7.05311130920249
6841,3929,Attawandaron Rd,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:11:58+00,241.238797382719
6842,3930,Attawandaron Gate,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:12:06+00,63.780588042758
6843,3847,Lawson Rd,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:12:13+00,322.63354802517
6844,3848,Longbow Rd,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:12:19+00,96.4180098233209
6845,3849,Lawson Rd,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:12:25+00,206.95627412572
6846,3851,Lonsdale Dr,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:12:31+00,110.13429000434
6847,3852,Rollingwood Cir,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:12:39+00,81.7399578977137
6848,3853,Metamora Cres,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:12:49+00,242.23299250149
6849,3857,Longbow Rd,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:12:55+00,123.786188028939
6850,3859,Longbow Rd,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:13:00+00,134.029450687526
6851,3860,Wychwood Pk,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:13:07+00,60.9584193759976
6852,3861,Wychwood Pk,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:13:13+00,53.9735196022086
6853,3869,Scarlett Ave,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:13:19+00,194.364354573542
6854,3870,Scarlett Ave,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,Wonderland Road N – Fanshawe Park Road W – Medway Creek – Western Road – Sarnia Road,40,Schedule 17.3 Area Speed Limits By-Law PS-113,2022/02/07 14:13:25+00,84.9669043092074
