OBJECTID,GIS_ID,StreetName,StreetClassification,VolumeCount,TruckRoute,LastEditDate,ShapeSTLength
12566,64,Sandybrook Dr,Neighbourhood Connector,500,None,2023/10/04 18:08:46+00,270.457707888124
12567,65,Southminster Brne,Neighbourhood Street,500,None,2023/10/04 18:08:46+00,668.645802399575
12568,66,Southminster Brne,Rural Thoroughfare,500,None,2023/10/04 18:08:46+00,2036.1174373115
12569,67,Taplow Rd,Neighbourhood Street,500,None,2023/10/04 18:08:46+00,151.189269698491
12570,68,Webster St,Neighbourhood Connector,500,None,2023/10/04 18:08:46+00,729.118397462791
12571,69,Webster St,Neighbourhood Connector,500,None,2023/10/04 18:08:46+00,0.0263928020490436
12572,70,Westbury Ave,Neighbourhood Street,500,None,2023/10/04 18:08:46+00,475.455196688829
12573,71,Westdel Brne,Neighbourhood Connector,500,None,2023/10/04 18:08:46+00,361.69031354617
12574,72,Whisperwood Ave,Neighbourhood Street,500,None,2023/10/04 18:08:46+00,1245.04058115187
12575,73,Glanworth Dr,Rural Thoroughfare,600,24 hrs,2023/10/04 18:08:46+00,260.344718766197
12576,74,Glanworth Dr,Rural Thoroughfare,600,24 hrs,2023/10/04 18:08:46+00,317.808687736769
12577,75,Manning Dr,Rural Connector,600,24 hrs,2023/10/04 18:08:46+00,3034.55961570916
12578,76,Westminster Dr,Rural Connector,600,24 hrs,2023/10/04 18:08:46+00,611.808452098244
12579,77,Sunningdale Rd E,Rural Connector,700,24 hrs,2023/10/04 18:08:46+00,973.80579351616
12580,78,Westminster Dr,Rural Connector,700,24 hrs,2023/10/04 18:08:46+00,1768.93168393322
12581,79,Westminster Dr,Rural Connector,700,24 hrs,2023/10/04 18:08:46+00,1554.5325225201
12582,80,Ensign Dr,Neighbourhood Street,700,None,2023/10/04 18:08:46+00,295.559459393566
12583,81,Ensign Dr,Neighbourhood Street,700,None,2023/10/04 18:08:46+00,111.992731940772
12584,82,Westminster Dr,Rural Connector,700,None,2023/10/04 18:08:46+00,7.88792965992978
12585,83,Glanworth Dr,Rural Thoroughfare,750,24 hrs,2023/10/04 18:08:46+00,1558.48472494538
12586,84,Glanworth Dr,Rural Thoroughfare,750,24 hrs,2023/10/04 18:08:46+00,1400.65082286018
12587,85,Westminster Dr,Rural Connector,900,24 hrs,2023/10/04 18:08:46+00,2519.48021947985
12588,86,White Oak Rd,Rural Connector,900,24 hrs,2023/10/04 18:08:46+00,219.728920968831
12589,87,Elviage Dr,Rural Connector,1000,24 hrs,2023/10/04 18:08:46+00,1330.73173876755
12590,88,Glanworth Dr,Rural Thoroughfare,1000,24 hrs,2023/10/04 18:08:46+00,2029.16944698694
12591,89,Glanworth Dr,Rural Thoroughfare,1000,24 hrs,2023/10/04 18:08:46+00,2780.0460924737
12592,90,Manning Dr,Rural Thoroughfare,1000,24 hrs,2023/10/04 18:08:46+00,3033.82980309068
12593,91,Westdel Brne,Rural Thoroughfare,1000,24 hrs,2023/10/04 18:08:46+00,2083.28840243149
12594,92,Westdel Brne,Rural Thoroughfare,1000,24 hrs,2023/10/04 18:08:46+00,780.215940778428
12595,93,Westdel Brne,Rural Thoroughfare,1000,24 hrs,2023/10/04 18:08:46+00,1580.55302813876
12596,94,Westminster Dr,Rural Connector,1000,24 hrs,2023/10/04 18:08:46+00,2175.66590885595
